Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
2,0399,"Lane's End, Agent","","Mastery --- Parade Militaire (IRE)","04/27/2019","CH",Colt,"Mastery","Parade Militaire (IRE)","","","","Yearling","Out",0
2,0400,"Paramount Sales, Agent XXI","","Paris Sunset","01/22/2015","B",Mare,"Kitten's Joy","Tessie Flip","Air Force Blue","03/11/2019","pregnant","Broodmare","Out",0
2,0401,"Eaton Sales, Agent","","Patti O'Rahy","02/26/2008","B",Mare,"Rahy","Fun House","Hard Spun","02/27/2019","pregnant","Broodmare","Out",0
2,0402,"Four Star Sales, Agent for the Estate of William D. Graham","(Windhaven Farms)","American Pharoah --- Pavini (FR)","03/06/2019","B",Filly,"American Pharoah","Pavini (FR)","","","","Yearling","*RNA (72,000)",---
2,0403,"Lane's End, Agent","","Peace Corps","03/28/2016","DB/BR",Filly,"Violence","Hepburn","","","","Broodmare Prospect","Yellowstone Racing",50000
2,0404,"Trackside Farm (Tom Evans), Agent IV","","Gormley --- Pegge's Treasures","01/30/2019","B",Colt,"Gormley","Pegge's Treasures","","","","Yearling","Carl Helmandollar",20000
2,0405,"Mulholland Springs, Agent XXI","","Constitution --- Personal Sunset","04/04/2019","B",Colt,"Constitution","Personal Sunset","","","","Yearling","Empire Bloodstock",175000
2,0406,"Lane's End, Agent","","Street Boss --- Playful Love","04/16/2019","CH",Filly,"Street Boss","Playful Love","","","","Yearling","Frank Ables / Gene Tenbrink",45000
2,0407,"Four Star Sales, Agent","","Pleasant Drive","03/12/2016","DB/BR",Mare,"Strong Mandate","Scenic Drive","Connect","03/02/2019","pregnant","Broodmare","Out",0
2,0408,"Lane's End, Agent","","Unified --- Pounds to Pennies","04/25/2019","B",Colt,"Unified","Pounds to Pennies","","","","Yearling","Out",0
2,0409,"Sequel New York, Agent","","Air Force Blue --- Princess Consort","04/03/2019","B",Filly,"Air Force Blue","Princess Consort","","","","Yearling","Preferred Equine, Agent",50000
2,0410,"Warrendale Sales, Agent VII","","Prom Time","04/20/2006","DB/BR",Mare,"Tale of the Cat","Promenade Colony","Danzing Candy","05/16/2019","not pregnant","Broodmare","Wark Bloodstock",15000.00
2,0411,"Warrendale Sales, Agent VII","","Mastery --- Prom Time","04/22/2019","B",Colt,"Mastery","Prom Time","","","","Yearling","Out",0
2,0412,"Mulholland Springs, Agent XII","","Tiznow --- Queen Amira (GB)","04/20/2019","B",Filly,"Tiznow","Queen Amira (GB)","","","","Yearling","Dudley Racing",30000
2,0413,"Keith Lancaster, Agent","","Queen Caribees","04/11/2006","GR/RO",Mare,"Cozzene","Avie's Fancy","Sky Mesa","06/15/2019","pregnant","Broodmare","Erin Fisher",2000
2,0414,"Sequel New York, Agent","","Practical Joke --- Queen of The Night (GB)","03/20/2019","DB/BR",Filly,"Practical Joke","Queen of The Night (GB)","","","","Yearling","*RNA (65,000)",---
2,0415,"Draper Farm, Agent","","Queen of the Party","03/25/2014","GR/RO",Mare,"Kantharos","Silver Lisa","","","","Broodmare Prospect","*RNA (9,000)",---
2,0416,"Lane's End, Agent","","Quotation","05/04/2016","B",Filly,"Congrats","Maple Syrple","","","","Broodmare Prospect","Randal Family Trust",37000
2,0417,"James B. Keogh (Grovendale), Agent I","","Rapid Racer","04/03/2007","GR/RO",Mare,"Forest Wildcat","Meadow Miss","Nyquist","05/11/2019","pregnant","Broodmare","N W Management, Agent",65000.00
2,0418,"Paramount Sales, Agent I","","Arrogate --- Rare Bit","04/26/2019","B",Colt,"Arrogate","Rare Bit","","","","Yearling","Clear Ridge Stables",155000
2,0419,"Mulholland Springs, Agent XIV","","Runhappy --- Real Clever Trick","04/28/2019","B",Filly,"Runhappy","Real Clever Trick","","","","Yearling","*RNA (45,000)",---
2,0420,"Mulholland Springs, Agent","","Lord Nelson --- Reina Maria","04/03/2019","B",Colt,"Lord Nelson","Reina Maria","","","","Yearling","Out",0
2,0421,"Sequel New York, Agent","","Practical Joke --- Ribbon Cutter","03/08/2019","B",Filly,"Practical Joke","Ribbon Cutter","","","","Yearling","Empire Thoroughbreds, Agent for Kingsport Farm",150000
2,0422,"Gainesway, Agent XXII","","Road of Honor","04/29/2015","B",Mare,"Quality Road","Pulcinella","Runhappy","03/07/2019","pregnant","Broodmare","Ramspring Farm & Milam Farm",130000
2,0423,"Lane's End, Agent","","Rock Me Mama","05/01/2011","B",Mare,"Broken Vow","Zoey Power","McCraken","04/12/2019","pregnant","Broodmare","Bill Reightler, Agent",45000
2,0424,"Lane's End, Agent","","Connect --- Roksana","03/06/2019","DB/BR",Colt,"Connect","Roksana","","","","Yearling","*RNA (27,000)",---
2,0425,"Mulholland Springs, Agent","","Roses in the South","03/01/2015","DB/BR",Mare,"City Place","Songofthesouth","Accelerate","05/14/2019","pregnant","Broodmare","*RNA (45,000)",---
2,0426,"Mulholland Springs, Agent","","Maclean's Music --- Royal Card","03/20/2019","B",Colt,"Maclean's Music","Royal Card","","","","Yearling","Out",0
2,0427,"Four Star Sales, Agent","","Flatter --- Royalty","03/01/2019","DB/BR",Filly,"Flatter","Royalty","","","","Yearling","de Meric Stables, Agent",120000
2,0428,"Trackside Farm (Tom Evans), Agent VII","","Rumandice","04/14/2016","CH",Filly,"Congrats","Chasethegold","","","","Racing or Broodmare Prospect","Machmer Hall",65000
2,0429,"Mill Ridge Sales, Agent","","Honor Code --- Run to the Beat","03/02/2019","B",Colt,"Honor Code","Run to the Beat","","","","Yearling","Jose M. Garcia-Blanco",5000
2,0430,"Indian Creek, Agent","","Sadie Be Good","04/04/2014","CH",Mare,"Big Drama","Miss Grandiose","Cairo Prince","05/21/2019","not pregnant","Broodmare","*RNA (45,000)",---
2,0431,"Gainesway, Agent XXI","","Saffron Girl","03/13/2017","CH",Filly,"Tapizar","Mattie Camp","","","","Racing or Broodmare Prospect","Out",0
2,0432,"Sequel New York, Agent","","Classic Empire --- Sayedah (IRE)","05/28/2019","B",Colt,"Classic Empire","Sayedah (IRE)","","","","Yearling","Emrath Bloodstock",30000
2,0433,"Paramount Sales, Agent II","","Scauri","05/08/2016","B",Mare,"Ghostzapper","Seeking Atlantis","Malibu Moon","04/26/2019","pregnant","Broodmare","The Elkstone Group",90000
2,0434,"Eaton Sales, Agent","","Seagal","02/05/2017","GR/RO",Filly,"American Pharoah","Sunset Glow","","","","Racing or Broodmare Prospect","Take A Shot Racing",28000
2,0435,"Paramount Sales, Agent II","","Malibu Moon --- Seeking Atlantis","04/14/2019","B",Colt,"Malibu Moon","Seeking Atlantis","","","","Yearling","*RNA (135,000)",---
2,0436,"James B. Keogh (Grovendale), Agent IV","","Sekhmet's Revenge","05/10/2015","B",Mare,"Paynter","Delizia","Good Magic","04/11/2019","pregnant","Broodmare","*RNA (70,000)",---
